source,ticker,source_url,match_kind,search_term,matched_text,review_status,review_reason,confidence_score,mention_type,context
nih_reporter_s10,TMO,https://reporter.nih.gov/project-details/10879698,company_alias,Affymetrix,Affymetrix,review_single_word_company_alias,single_word_company_alias,0.73,methods_use,"sciplinary center focusing on research that affects disadvantaged, minority and under-served populations. The FAMU-CoPPS MGC is at an enormous disadvantage due to rapidly evolving advances in next generation sequencing (NGS) technologies concurrent to expiration and retirement of the cores central piece of instrument (Affymetrix® GeneAtlas® System). The GeneAtlas® was purchased in 2015, and in 2016 the Affymetrix Corporation was acquired by Thermo Fischer Scientific , who in 2021 announced its permanent retirement and notified its customers. This has crippled the MGC , which is now without equipment and greatly in need of a state of the art N"
nih_reporter_s10,TMO,https://reporter.nih.gov/project-details/10853765,product,Glacios,Glacios,review_single_word_product,single_word_product_or_brand,0.85,generic_mention,"Structural biology has long been a cornerstone for a diverse group of NIH-funded researchers at MCW and in southeastern Wisconsin. This is demonstrated by the continued support of the Biomolecular NMR Facility (Est. 2000), the formation of the Program in Chemical Biology (PCB) in 2017, and the acquisition of a Thermo Glacios cryo-EM installing on MCW’s campus in 2023. The continued expansion of drug discovery on campus has recently benefited from over a $5M investment in infrastructure and the commitment to hire 2 to 3 tenure- track faculty into the PCB. Additionally, the Department of Biochemistry has hired two structural biologists with"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/11337674,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,methods_use,"ing confocal microscope. The ILMF currently serves 420 users in 80 labs from across the University. Sixty-seven of those labs use laser scanning confocal microscopy, and 78% of those labs have NIH funding. Usage hours have increased as the ILMF’s microscope capacity has decreased. Two of our confocal microscopes, both Leica SP5 models, are over 14 years old. Leica has designated them end-of-life, meaning they are no longer manufacturing parts for these systems and replacements are not guaranteed. We have already experienced failure of the 488nm Argon and 592nm depletion lasers on one, and failure of the Mai Tai multiphoton excitation las"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10947308,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,benchmark_or_validation,"mory, Rett syndrome (RTT), childhood neurodegenerative diseases and more. The proposed high-pressure freezing system is based on the needs of the VBI and Major Users to capture neuronal processes with the highest resolution and fidelity possible to understand fundamental advance these NIMH and NIH funded projects. The Leica EM ICE high-pressure freezer includes: 1) The base unit high- pressure freezing that uses pressurized liquid nitrogen to both generate pressure and cool samples simultaneously; 2) Electric and light stimulation modules to capture synaptic events at the point of freezing 3) A cell and tissue incubator system to load li"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10631538,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,benchmark_or_validation,"croscope, including regular multi-channel high resolution 3D imaging, live-cell imaging, and flexibility in channel set-up to enable use of many different fluorophores. There have been some major innovations in the field of confocal microscopy with regard to detectors, laser design, and deconvolution options since the Leica SP5 confocal was purchased, and we believe that an update in technology will enable some of our NIH- funded researchers to conduct experiments that have previously been challenging to conduct. Overall, acquisition of this advanced instrument will have a high impact on the NIH-funded biomedical research at Einstein, in"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10632787,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,methods_use,"fectious diseases, and fundamental structural and cellular biology. The proposed equipment includes a cryo-capable, 200 kV transmission electron microscope (JEOL 2100PLUS) with a direct electron detection device (Direct Electron DE16ER camera) and the essential equipment needed for sample vitrification and handling (a Leica EM GP2 automatic plunge freezer, and a Gatan Elsa cryo sample holder with turbo benchtop pumping station). This multipurpose cryoTEM system will support the needs of NIH-funded investigators at the University of Georgia (UGA) for (1) the preparation and screening of vitrified samples; (2) data collection for single pa"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10415675,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,benchmark_or_validation,"frozen cells to permit cryo-electron tomography of macromolecular structures in situ and by cryo-SEM. The Zeiss Crossbeam 550 is a state-of-the-art FIB-SEM with a high-performance ion column (3 nm resolution and up to 100 nA of probe current) that can efficiently perform FIB-SEM tomography and can be integrated with a Leica cryo-stage to create thin lamella for cryo-electron tomography. Our major users will apply FIB-SEM tomography to break new ground on NIH-funded research projects which span a wide range of problems in cell, developmental, epithelial, intestinal, and cancer biology, among others. Projects include studies of cytoskeleta"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10416530,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,methods_use,"Ultramicrotome with necessary accessories Project Summary/Abstract Funds are requested to purchase a Leica ARTOS ultramicrotome with necessary accessories including a vibration isolation instrument table, diamond knives, and a glass knifemaker. Included with the purchase will be training for the major users and the core facility staff member responsible for overseeing use of the instrument. The instrument will be housed in"
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10415600,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,generic_mention,Leica Cryostat for shared use at URI The major goal of this project is to acquire a Leica CM3050 S Cryostat for a shared use at the University of Rhode Island (URI). The majority of animal users at the URI demand a Cryostat to fulfill the histological needs of diverse research projects. Three NIH-funded users have been iden
nih_reporter_s10,DHR,https://reporter.nih.gov/project-details/10424798,company_alias,Leica,Leica,review_single_word_company_alias,single_word_company_alias; low_confidence_score,0.5499999999999999,methods_use,"f exceptional quality fluorescent and brightfield images. While the Wake Forest Microscopic Imaging Core Facility has been an historic area of strength for the Department of Biology, current needs are exceeding the available equipment capabilities in terms of both specific functionality and available imaging time. The Leica Thunder Live Cell Imager system requested here represents an ideal platform for meeting the directed research goals and plans outlined in this proposal. It will expand our existing capabilities by providing a high-speed fluorescence acquisition system with optimized living tissue imaging conditions, and will provide a"
